ticker,name,sentiment
JCI,Johnson Controls International PLC,sell
ROST,Ross Stores Inc.,hold
LRCX,Lam Research Corp.,buy
MCO,Moody's Corp.,sell
ECL,Ecolab Inc.,hold
ITW,Illinois Tool Works Inc.,buy
ROP,Roper Technologies Inc.,sell
AVB,AvalonBay Communities Inc.,hold
TRV,Travelers Companies Inc.,buy
KMI,Kinder Morgan Inc.,sell
AFL,Aflac Inc.,hold
STZ,Constellation Brands Inc.,buy
HCA,HCA Healthcare Inc.,sell
MAR,Marriott International Inc.,hold
MNST,Monster Beverage Corp.,buy
EXC,Exelon Corp.,sell
ILMN,Illumina Inc.,hold
PGR,Progressive Corp.,buy
DHI,D.R. Horton Inc.,sell
TEL,TE Connectivity Ltd.,hold
BKR,Baker Hughes Co.,buy
HPQ,HP Inc.,sell
KEY,KeyCorp,hold
PRU,Prudential Financial Inc.,buy
ALL,Allstate Corp.,sell
DOV,Dover Corp.,hold
VLO,Valero Energy Corp.,buy
YUM,Yum! Brands Inc.,sell
SWK,Stanley Black & Decker Inc.,hold
ATO,Atmos Energy Corp.,buy
SYY,Sysco Corp.,sell
WY,Weyerhaeuser Co.,hold
HAL,Halliburton Co.,buy
GLW,Corning Inc.,sell
CFG,Citizens Financial Group Inc.,hold
FTV,Fortive Corp.,buy
CAH,Cardinal Health Inc.,sell
FAST,Fastenal Co.,hold
HPE,Hewlett Packard Enterprise Co.,buy
GPN,Global Payments Inc.,sell
KHC,Kraft Heinz Co.,hold
O, Realty Income Corp.,buy
FITB,Fifth Third Bancorp,sell
IP, International Paper Co.,hold
PXD,Pioneer Natural Resources Co.,buy
MTD, Mettler-Toledo International Inc.,sell
